t,total_var,pct_gmax,scale
0.0,1.9870000999999993,24.384900256044947,0.13894529339097117
0.05263157894736842,2.004921698918676,24.3270561215145,0.14188981812880916
0.10526315789473684,2.0282792150425974,24.318211826451822,0.1448967431518254
0.15789473684210525,2.0576341239187896,24.362338927049514,0.14796739084510266
0.21052631578947367,2.09364351620905,24.470233761923318,0.15110311161767162
0.2631578947368421,2.1370757476435234,24.662401432389288,0.1543052844963929
0.3157894736842105,2.1888287846483823,24.97281380912867,0.15757531773242567
0.3684210526315789,2.249951711515049,25.450302085578265,0.1609146494205473
0.42105263157894735,2.3216699459347474,26.150677292341395,0.1643247481315997
0.47368421052631576,2.405414804763782,27.1185285395392,0.16780711355833636
0.5263157894736842,2.5028581734641717,28.37376077831633,0.1713632771749576
0.5789473684210527,2.615953163660768,29.913990527142715,0.17499480291062136
0.631578947368421,2.7469817970506885,31.72376257070769,0.17870328783722864
0.6842105263157895,2.89861093446388,33.78090469349047,0.18249036287178266
0.7368421052631579,3.07395788086608,36.05935314660234,0.1863576934936339
0.7894736842105263,3.276667345990681,38.530365296107526,0.19030698047692457
0.8421052631578947,3.5110017325104166,41.1632102460075,0.194339960638554
0.8947368421052632,3.7819470667592547,43.92573801336634,0.1984584076019968
0.9473684210526315,4.095337289849257,46.78497358129376,0.20266413257730576
1.0,4.458000099999998,49.70778569724673,0.20695898515764635
